Ranking,Platform,CPU,2024 SingleScore*,2024 MultiScore**,Cores,Max. TDP
520,Laptop,Pentium Silver N6005,47,133,4(4P),null
521,Laptop,Core i3 10110U,61,130,2(2P),null
522,Laptop,Celeron N5095,36,119,4(4P),null
523,Laptop,Core i5 7200U,47,112,2(2P),null
524,Laptop,Pentium Silver N6000,44,111,4(4P),null
525,Laptop,Ryzen 3 3250U,48,107,2(2P),null
526,Laptop,Celeron N5100,41,98,4(4P),null
527,Laptop,Ryzen 3 3200U,44,97,2(2P),null
528,Laptop,Processor N200,45,91,4(4E + 0P),null
529,Laptop,Celeron N4500,27,39,2(2P),null
